"Iteration","CL","CD","CSF","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","AoA","Custom_ObjFunc","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
           0, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.65113510e+00, -2.91119482e+00, -3.19541239e+00, -1.08421439e+00, 1.83263125e+00, 5.0000000000, 8.0000000000, 0.0149745981
           1, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.77982983e+00, -2.54166783e+00, -2.27137597e+00, -1.19434292e+00, 1.70550444e+00, 5.0000000000, 8.0000000000, 0.0160574396
           2, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.86050804e+00, -2.28809824e+00, -2.31928983e+00, -1.27203064e+00, 1.62491022e+00, 5.0000000000, 8.0000000000, 0.0170929670
           3, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.90066709e+00, -2.18852531e+00, -2.36506497e+00, -1.30980824e+00, 1.58930660e+00, 5.0000000000, 8.0000000000, 0.0181493163
           4, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.92241775e+00, -2.14656503e+00, -2.38506170e+00, -1.32842678e+00, 1.57403446e+00, 5.0000000000, 8.0000000000, 0.0191860000
           5, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.94200066e+00, -2.12962887e+00, -2.39841463e+00, -1.34526062e+00, 1.55958057e+00, 5.0000000000, 8.0000000000, 0.0202016830
           6, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.96470431e+00, -2.12194865e+00, -2.42157160e+00, -1.36552063e+00, 1.54019994e+00, 5.0000000000, 8.0000000000, 0.0212821047
           7, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.99029805e+00, -2.11571962e+00, -2.44288997e+00, -1.38719888e+00, 1.51696590e+00, 5.0000000000, 8.0000000000, 0.0223291238
           8, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.01686452e+00, -2.10949431e+00, -2.46037978e+00, -1.40712249e+00, 1.49268402e+00, 5.0000000000, 8.0000000000, 0.0234395385
           9, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.04349539e+00, -2.10433874e+00, -2.41902056e+00, -1.42425303e+00, 1.46843715e+00, 5.0000000000, 8.0000000000, 0.0244774024
