"Iteration","CL","CD","CSF","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","AoA","Custom_ObjFunc","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
           0, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.12828286e+00, -3.39014295e+00, -3.52945108e+00, -1.56133565e+00, 1.35548592e+00, 5.0000000000, 8.0000000000, 0.0234851082
           1, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.21873534e+00, -2.94346154e+00, -2.75831517e+00, -1.63752391e+00, 1.26636075e+00, 5.0000000000, 8.0000000000, 0.0259495139
           2, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.28076884e+00, -2.81944522e+00, -2.79149717e+00, -1.69919649e+00, 1.20396130e+00, 5.0000000000, 8.0000000000, 0.0284305374
           3, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.31924525e+00, -2.72930397e+00, -2.83008191e+00, -1.73748486e+00, 1.16650456e+00, 5.0000000000, 8.0000000000, 0.0308929960
           4, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.34062727e+00, -2.66123671e+00, -2.85741390e+00, -1.75608869e+00, 1.14858200e+00, 5.0000000000, 8.0000000000, 0.0333370288
           5, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.35211073e+00, -2.62087714e+00, -2.86699550e+00, -1.76341544e+00, 1.14191421e+00, 5.0000000000, 8.0000000000, 0.0357885679
           6, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.36028427e+00, -2.59868063e+00, -2.86501897e+00, -1.76762354e+00, 1.13838283e+00, 5.0000000000, 8.0000000000, 0.0382504145
           7, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.36920580e+00, -2.58630506e+00, -2.86422110e+00, -1.77339045e+00, 1.13319890e+00, 5.0000000000, 8.0000000000, 0.0407039007
           8, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.38017247e+00, -2.58003998e+00, -2.86872761e+00, -1.78206631e+00, 1.12507425e+00, 5.0000000000, 8.0000000000, 0.0431720614
           9, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.39389936e+00, -2.57474954e+00, -2.87590916e+00, -1.79368409e+00, 1.11338715e+00, 5.0000000000, 8.0000000000, 0.0456092556
